Reporting Year,Reporting Month,D_Name,Proj_Name,Sec_NAme,AWC_ID,AWc_Name,Tot_PW,Tot_SC_PW,Tot_ST_PW,Tot_BC_PW,Tot_OC_PW,Tot_LW,Tot_SC_LW,Tot_ST_LW,Tot_BC_LW,Tot_OC_LW
2025,10,KHAMMAM,KHAMMAM (U),Jinkalathanda,2206226,K V Banjer,2,0,0,2,0,1,0,1,0,0
2025,10,VIKARABAD,MARPALLY,kotpally,1506057,Kankanalpally,1,0,0,0,1,2,0,0,2,0
2025,10,VIKARABAD,MARPALLY,kotpally,1506108,Malshetpally,1,0,1,0,0,0,0,0,0,0
2025,10,KHAMMAM,KHAMMAM (U),Mustafanagar,2206077,Parsibandam-1,6,5,0,1,0,12,7,0,5,0
2025,10,SURYAPET,HUZURNAGAR,Palakeedu,2305198,Bothalapalem -I,6,3,0,2,1,3,2,0,1,0
2025,10,VIKARABAD,VIKARABAD,Chengomul,1511164,A C Pally -II,2,2,0,0,0,2,2,0,0,0
2025,10,WARANGAL,WARDHANNAPETA,Perikedu,2115070,Kondapur-I,5,0,0,5,0,2,0,0,2,0
2025,10,WARANGAL,WARDHANNAPETA,Perikedu,2115288,Kotha Thanda,3,0,3,0,0,0,0,0,0,0
2025,10,NAGARKURNOOL,NAGARKURNOOL,Ithole,1404122,Papagal - I,14,5,0,5,4,2,1,0,0,1
2025,10,MAHABUBNAGAR,MAHBUBNAGAR (U),Sheshabgutta,1413027,Christan colony  III,7,1,0,6,0,3,1,0,2,0
2025,10,JANGAON,STN.GHANPUR,MALKAPUR,2104073,Malkapur-2,6,1,1,4,0,3,0,0,3,0
2025,10,KAMAREDDY,KAMAREDDY,SADASIVANA,1806057,Dharmaraopet-2,12,5,0,5,2,6,0,0,4,2
2025,10,VIKARABAD,PARGI,Mujaidpur,1508241,Bhajyanaik Tanda ,1,0,1,0,0,1,0,1,0,0
2025,10,MAHABUBNAGAR,MAHBUBNAGAR (U),Veerannapet,1413096,Harijanawada-2,8,0,0,0,8,3,0,0,0,3
2025,10,WARANGAL,WARDHANNAPETA,Ellenda,2115019,Kothapalli-1,6,2,0,3,1,1,0,0,1,0
2025,10,WARANGAL,WARDHANNAPETA,Ellenda,2115037,Upparapalli-1,1,1,0,0,0,3,1,0,1,1
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Mothkur,2309002,Mothkur-2,3,0,0,3,0,2,0,0,1,1
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Mothkur,2309016,Patimatla,2,1,0,1,0,3,2,0,0,1
2025,10,YADADRI-BHUVANGIRI,MOTHKUR (R),Mothkur,2309033,Dacharam-1,2,2,0,0,0,4,4,0,0,0
2025,10,WARANGAL,WARDHANNAPETA,Shayampet,2106196,Vanchanagiri II,5,0,0,4,1,4,0,0,4,0
2025,10,SANGAREDDY,PATANCHERU,Ramchandrapuram,1707036,E S I Huts,18,4,0,10,4,2,0,0,1,1
2025,10,SANGAREDDY,PATANCHERU,Ramchandrapuram,1707168,BalajiNagar,6,0,0,1,5,3,1,0,0,2
